,Player,Season,Age,Position,Team,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Competition
0,Armand Laurienté,2022-23,25,"AM(LR),FW",Lorient,3,3,269,1,0,3,8.61,FRA Ligue 1
1,Lionel Messi,2022-23,37,"AM(CR),FW",PSG,32,32,2842,16,16,14,8.28,FRA Ligue 1
2,Kylian Mbappé,2022-23,25,"AM(LR),FW",PSG,34,32,2822,29,5,7,7.80,FRA Ligue 1
3,Martin Terrier,2022-23,27,"AM(CL),FW",Rennes,16,16,1330,9,4,7,7.71,FRA Ligue 1
4,Neymar,2022-23,32,"AM(CLR),FW",PSG,20,18,1553,13,11,3,7.71,FRA Ligue 1
5,Sofiane Diop,2022-23,24,AM(CLR),Monaco,1,1,66,1,0,0,7.56,FRA Ligue 1
6,Dango Ouattara,2022-23,22,AM(LR),Lorient,18,18,1552,6,5,4,7.44,FRA Ligue 1
7,Alexandre Lacazette,2022-23,33,"M(CLR),FW",Lyon,35,34,2938,27,5,5,7.42,FRA Ligue 1
8,Rémy Cabella,2022-23,34,"M(CLR),FW",Lille,32,28,2535,7,10,5,7.38,FRA Ligue 1
9,Lucas Paquetá,2022-23,27,"M(CLR),FW",Lyon,2,2,161,0,0,0,7.32,FRA Ligue 1
0,Téji Savanier,2022-23,32,M(C),Montpellier,30,30,2557,12,4,7,7.28,FRA Ligue 1
1,Enzo Le Fée,2022-23,24,M(CLR),Lorient,35,35,3039,5,5,5,7.26,FRA Ligue 1
2,Romain Faivre,2022-23,26,AM(CLR),Lorient,16,14,1253,5,3,2,7.22,FRA Ligue 1
3,Terem Moffi,2022-23,25,"AM(R),FW",Nice,16,15,1334,6,3,3,7.21,FRA Ligue 1
4,Joaquín Blázquez,2022-23,23,GK,Brest,1,1,90,0,0,0,7.19,FRA Ligue 1
5,Jonathan David,2022-23,24,"AM(C),FW",Lille,37,36,3179,24,4,5,7.18,FRA Ligue 1
6,Benjamin André,2022-23,34,"D(R),M(CLR)",Lille,34,33,2919,1,1,3,7.16,FRA Ligue 1
7,Benjamin Lecomte,2022-23,33,GK,Montpellier,19,19,1710,0,0,1,7.15,FRA Ligue 1
8,Benjamin Bourigeaud,2022-23,30,M(CLR),Rennes,37,37,3084,7,10,4,7.15,FRA Ligue 1
9,Issiaga Sylla,2022-23,30,"D(LR),M(L)",Montpellier,15,15,1306,1,3,1,7.15,FRA Ligue 1
0,Florian Sotoca,2022-23,33,"M(CR),FW",Lens,38,34,3064,7,9,4,7.13,FRA Ligue 1
1,Amine Gouiri,2022-23,24,"AM(L),FW",Rennes,33,29,2532,15,3,1,7.12,FRA Ligue 1
2,Gaëtan Laborde,2022-23,30,"AM(CLR),FW",Nice,33,28,2514,13,3,4,7.12,FRA Ligue 1
3,Aleksandr Golovin,2022-23,28,M(CLR),Monaco,34,29,2484,8,7,3,7.11,FRA Ligue 1
4,Seko Fofana,2022-23,29,M(C),Lens,35,34,3079,7,5,4,7.10,FRA Ligue 1
5,Kiki Kouyaté,2022-23,27,D(C),Montpellier,15,15,1259,0,0,2,7.10,FRA Ligue 1
6,Ghjuvanni Quilichini,2022-23,22,GK,AC Ajaccio,1,0,81,0,0,0,7.10,FRA Ligue 1
7,Andrei Girotto,2022-23,32,"D(C),DMC",Nantes,36,36,3153,1,1,4,7.09,FRA Ligue 1
8,Edon Zhegrova,2022-23,25,AM(R),Lille,22,11,1056,3,4,2,7.08,FRA Ligue 1
9,Donovan Léon,2022-23,31,GK,Auxerre,2,2,180,0,0,0,7.08,FRA Ligue 1
0,Branco van den Boomen,2022-23,29,DMC,Toulouse,35,32,2893,5,8,1,7.08,FRA Ligue 1
1,Jérémy Doku,2022-23,22,AM(LR),Rennes,29,13,1287,6,2,4,7.08,FRA Ligue 1
2,Jean-Ricner Bellegarde,2022-23,26,M(CLR),Strasbourg,30,29,2428,2,6,5,7.07,FRA Ligue 1
3,Steve Mounié,2022-23,29,FW,Brest,23,20,1662,6,0,2,7.07,FRA Ligue 1
4,Wissam Ben Yedder,2022-23,34,"AM(C),FW",Monaco,32,28,2130,19,6,4,7.07,FRA Ligue 1
5,Fabien Centonze,2022-23,28,"D(R),M(R)",Nantes,23,19,1693,0,0,1,7.06,FRA Ligue 1
6,Nathan Ngoumou,2022-23,24,AM(R),Toulouse,1,1,90,0,0,0,7.06,FRA Ligue 1
7,Sofiane Boufal,2022-23,30,"AM(CLR),FW",Angers,13,9,838,4,3,3,7.06,FRA Ligue 1
8,Nuno Mendes,2022-23,22,"D(L),M(L)",PSG,23,18,1554,1,5,0,7.04,FRA Ligue 1
9,Maxence Caqueret,2022-23,24,M(C),Lyon,36,32,2778,4,7,2,7.04,FRA Ligue 1
0,Alexis Sánchez,2022-23,35,"M(CLR),FW",Marseille,35,32,2699,14,3,6,7.04,FRA Ligue 1
1,Habib Diallo,2022-23,29,"AM(R),FW",Strasbourg,37,32,2880,20,1,5,7.04,FRA Ligue 1
2,Nabil Bentaleb,2022-23,29,M(C),Angers,30,29,2492,4,4,4,7.03,FRA Ligue 1
3,Przemyslaw Frankowski,2022-23,29,"D(R),M(CLR)",Lens,37,31,2838,5,3,3,7.03,FRA Ligue 1
4,Ludovic Blas,2022-23,26,"M(CLR),FW",Nantes,37,30,2821,7,5,3,7.01,FRA Ligue 1
5,Terem Moffi,2022-23,25,"AM(R),FW",Lorient,18,17,1398,12,0,1,7.01,FRA Ligue 1
6,Valentin Rongier,2022-23,29,"D(R),M(C)",Marseille,36,34,3034,1,2,1,7.00,FRA Ligue 1
7,Franck Honorat,2022-23,28,"M(LR),FW",Brest,33,29,2546,6,5,3,7.00,FRA Ligue 1
8,Rayan Cherki,2022-23,21,AM(CLR),Lyon,34,21,1874,4,6,3,6.99,FRA Ligue 1
9,Loïs Openda,2022-23,24,FW,Lens,38,29,2529,21,4,6,6.99,FRA Ligue 1
0,Pierre Lees-Melou,2022-23,31,M(CLR),Brest,32,32,2773,5,5,3,6.99,FRA Ligue 1
1,Hicham Boudaoui,2022-23,24,M(CR),Nice,27,22,1882,1,2,0,6.97,FRA Ligue 1
2,Nicolas Pépé,2022-23,29,"AM(LR),FW",Nice,19,17,1529,6,0,1,6.96,FRA Ligue 1
3,Jonathan Clauss,2022-23,31,"D(R),M(LR)",Marseille,34,32,2604,2,9,2,6.95,FRA Ligue 1
4,Jonathan Gradit,2022-23,31,D(CR),Lens,33,33,2830,1,3,0,6.95,FRA Ligue 1
5,Dante,2022-23,40,D(C),Nice,37,37,3300,1,2,0,6.94,FRA Ligue 1
6,Yunis Abdelhamid,2022-23,36,D(C),Reims,37,37,3330,1,2,1,6.94,FRA Ligue 1
7,Rasmus Nicolaisen,2022-23,27,D(C),Toulouse,34,34,2997,0,2,1,6.94,FRA Ligue 1
8,Achraf Hakimi,2022-23,25,"D(LR),M(R)",PSG,28,23,2053,5,3,0,6.94,FRA Ligue 1
9,Yehvann Diouf,2022-23,24,GK,Reims,31,31,2790,0,0,2,6.94,FRA Ligue 1
0,Kevin Danso,2022-23,25,D(C),Lens,37,37,3234,1,2,2,6.94,FRA Ligue 1
1,Bradley Barcola,2022-23,22,AM(R),Lyon,26,15,1438,5,8,3,6.94,FRA Ligue 1
2,Marco Verratti,2022-23,31,M(C),PSG,29,27,2206,0,0,0,6.94,FRA Ligue 1
3,Vanderson,2022-23,23,"D(R),M(R)",Monaco,31,24,2220,1,4,2,6.93,FRA Ligue 1
4,Kenny Lala,2022-23,32,"D(LR),M(R)",Brest,17,16,1419,0,2,0,6.93,FRA Ligue 1
5,Tetê,2022-23,24,AM(R),Lyon,17,14,1114,6,2,2,6.93,FRA Ligue 1
6,Adrien Thomasson,2022-23,30,M(CLR),Lens,20,16,1288,5,5,0,6.92,FRA Ligue 1
7,Alexander Djiku,2022-23,30,"D(CR),DMC",Strasbourg,31,31,2681,1,2,1,6.92,FRA Ligue 1
8,Caio Henrique,2022-23,27,"D(L),M(CL)",Monaco,35,32,2898,1,9,2,6.92,FRA Ligue 1
9,Karl Toko Ekambi,2022-23,31,"AM(LR),FW",Lyon,19,15,1357,4,2,2,6.91,FRA Ligue 1
0,Jonathan Bamba,2022-23,28,"AM(CLR),FW",Lille,34,32,2790,6,7,2,6.91,FRA Ligue 1
1,Dejan Lovren,2022-23,35,D(C),Lyon,17,17,1462,1,0,0,6.91,FRA Ligue 1
2,Neto Borges,2022-23,27,"D(L),M(L)",Clermont Foot,33,33,2840,3,1,4,6.91,FRA Ligue 1
3,Khéphren Thuram,2022-23,23,"DMC,M(L)",Nice,35,30,2560,2,4,1,6.91,FRA Ligue 1
4,Folarin Balogun,2022-23,23,FW,Reims,37,34,3013,21,2,4,6.90,FRA Ligue 1
5,Azor Matusiwa,2022-23,26,DMC,Reims,30,29,2492,0,0,0,6.89,FRA Ligue 1
6,Mateusz Lis,2022-23,27,GK,Troyes,9,8,749,0,0,0,6.89,FRA Ligue 1
7,Youssouf Fofana,2022-23,25,DMC,Monaco,36,35,3089,2,2,0,6.89,FRA Ligue 1
8,Fabián Ruiz,2022-23,28,M(CL),PSG,27,21,1899,3,2,1,6.89,FRA Ligue 1
9,Junya Ito,2022-23,31,"AM(LR),FW",Reims,35,34,2930,6,5,3,6.89,FRA Ligue 1
0,Romain Del Castillo,2022-23,28,"AM(CLR),FW",Brest,27,16,1429,6,6,2,6.88,FRA Ligue 1
1,Gianluigi Donnarumma,2022-23,25,GK,PSG,38,38,3410,0,0,3,6.88,FRA Ligue 1
2,Marshall Munetsi,2022-23,28,"D(C),M(C)",Reims,34,31,2708,7,3,0,6.88,FRA Ligue 1
3,Youcef Belaïli,2022-23,32,AM(L),AC Ajaccio,17,15,1162,6,3,2,6.88,FRA Ligue 1
4,Paul Joly,2022-23,24,D(R),Auxerre,10,10,867,0,0,1,6.87,FRA Ligue 1
5,Cengiz Ünder,2022-23,27,M(CLR),Marseille,37,28,2497,5,4,4,6.87,FRA Ligue 1
6,Elye Wahi,2022-23,21,"AM(L),FW",Montpellier,33,29,2530,19,5,2,6.87,FRA Ligue 1
7,Rony Lopes,2022-23,28,"AM(CLR),FW",Troyes,32,29,2360,7,5,2,6.87,FRA Ligue 1
8,Nicolás Tagliafico,2022-23,32,"D(CL),M(L)",Lyon,34,34,2995,1,3,1,6.86,FRA Ligue 1
9,Malo Gusto,2022-23,21,"D(R),M(R)",Lyon,21,19,1602,0,1,1,6.86,FRA Ligue 1
0,Benoît Badiashile,2022-23,23,D(C),Monaco,11,9,839,2,0,0,6.86,FRA Ligue 1
1,Gaëtan Laborde,2022-23,30,"AM(CLR),FW",Rennes,4,3,251,2,0,0,6.86,FRA Ligue 1
2,Morgan Sanson,2022-23,30,M(CLR),Strasbourg,18,18,1429,1,2,0,6.86,FRA Ligue 1
3,Nuno Tavares,2022-23,24,"D(L),M(L)",Marseille,31,23,2349,6,0,1,6.86,FRA Ligue 1
4,Jordan Veretout,2022-23,31,M(C),Marseille,38,31,2864,4,3,1,6.85,FRA Ligue 1
5,Andrei Radu,2022-23,27,GK,Auxerre,17,17,1530,0,0,1,6.84,FRA Ligue 1
6,Baptiste Santamaría,2022-23,29,DMC,Rennes,25,20,1815,2,0,1,6.84,FRA Ligue 1
7,Rafael Ratão,2022-23,28,AM(LR),Toulouse,30,25,1871,5,4,1,6.84,FRA Ligue 1
8,Frédéric Guilbert,2022-23,29,"D(CLR),M(R)",Strasbourg,18,17,1465,0,1,0,6.84,FRA Ligue 1
9,Axel Disasi,2022-23,26,D(C),Monaco,38,37,3330,3,3,1,6.83,FRA Ligue 1
0,Samuel Gigot,2022-23,30,D(C),Marseille,26,24,1889,2,2,2,6.83,FRA Ligue 1
1,Breel Embolo,2022-23,27,"AM(CR),FW",Monaco,32,19,1856,12,2,1,6.83,FRA Ligue 1
2,Adrien Truffert,2022-23,22,"D(L),M(L)",Rennes,28,24,1962,0,6,1,6.83,FRA Ligue 1
3,Ismaily,2022-23,34,D(L),Lille,23,21,1785,2,1,0,6.83,FRA Ligue 1
4,Corentin Tolisso,2022-23,30,"D(R),M(CR)",Lyon,30,25,2050,1,2,1,6.82,FRA Ligue 1
5,Jaouen Hadjam,2022-23,21,D(L),Nantes,13,8,806,0,1,0,6.82,FRA Ligue 1
6,Alexis Flips,2022-23,24,M(CLR),Reims,33,28,1998,4,6,2,6.82,FRA Ligue 1
7,Mory Diaw,2022-23,31,GK,Clermont Foot,37,37,3330,0,0,3,6.82,FRA Ligue 1
8,Nathan Zézé,2022-23,19,D(CLR),Nantes,1,1,60,0,0,0,6.82,FRA Ligue 1
9,Hamari Traoré,2022-23,32,"D(R),M(R)",Rennes,31,28,2531,1,4,0,6.82,FRA Ligue 1
0,Djed Spence,2022-23,24,"D(R),M(R)",Rennes,8,7,575,0,0,0,6.82,FRA Ligue 1
1,Sergio Ramos,2022-23,38,D(CR),PSG,33,31,2709,2,1,0,6.82,FRA Ligue 1
2,Jordan Lotomba,2022-23,25,"D(LR),M(R)",Nice,33,27,2456,0,2,2,6.82,FRA Ligue 1
3,Chancel Mbemba,2022-23,30,"D(CLR),DMC",Marseille,36,32,2850,5,0,1,6.82,FRA Ligue 1
4,Angelo Fulgini,2022-23,28,"AM(CLR),FW",Lens,17,12,866,1,1,2,6.81,FRA Ligue 1
5,Stijn Spierings,2022-23,28,M(C),Toulouse,36,35,3123,2,0,0,6.81,FRA Ligue 1
6,Pau López,2022-23,29,GK,Marseille,33,32,2925,0,2,1,6.81,FRA Ligue 1
7,Alban Lafont,2022-23,25,GK,Nantes,37,37,3330,0,0,5,6.81,FRA Ligue 1
8,Luis Suárez,2022-23,26,"AM(L),FW",Marseille,7,2,291,3,1,0,6.81,FRA Ligue 1
9,Florian Tardieu,2022-23,32,M(C),Troyes,15,11,1010,3,0,0,6.81,FRA Ligue 1
0,Mikkel Desler,2022-23,29,D(R),Toulouse,27,26,2262,1,2,1,6.80,FRA Ligue 1
1,Facundo Medina,2022-23,25,D(CL),Lens,32,32,2784,2,4,1,6.80,FRA Ligue 1
2,Maxime Dupé,2022-23,31,GK,Toulouse,38,38,3420,0,0,4,6.80,FRA Ligue 1
3,Adam Ounas,2022-23,27,"AM(CLR),FW",Lille,21,12,1065,1,1,1,6.80,FRA Ligue 1
4,Brendan Chardonnet,2022-23,29,D(C),Brest,30,27,2489,0,0,0,6.79,FRA Ligue 1
5,Montassar Talbi,2022-23,26,D(C),Lorient,38,38,3420,1,2,1,6.79,FRA Ligue 1
6,Johan Gastien,2022-23,36,DMC,Clermont Foot,31,29,2607,4,3,2,6.79,FRA Ligue 1
7,Alexsandro Ribeiro,2022-23,25,D(C),Lille,21,16,1611,3,0,2,6.79,FRA Ligue 1
8,Salis Abdul Samed,2022-23,24,DMC,Lens,33,33,2897,1,1,0,6.79,FRA Ligue 1
9,Emmanuel Agbadou,2022-23,27,"D(C),DMC",Reims,29,27,2390,0,3,1,6.79,FRA Ligue 1
0,Kasper Schmeichel,2022-23,37,GK,Nice,36,36,3240,0,0,2,6.79,FRA Ligue 1
1,Jean-Clair Todibo,2022-23,24,D(C),Nice,34,33,2873,0,0,1,6.79,FRA Ligue 1
2,Mohamed Camara,2022-23,24,DMC,Monaco,29,25,2200,0,3,1,6.78,FRA Ligue 1
3,Krépin Diatta,2022-23,25,"M(CLR),FW",Monaco,31,22,2079,4,2,1,6.78,FRA Ligue 1
4,Himad Abdelli,2022-23,24,"AM(CL),FW",Angers,30,24,2141,2,2,3,6.78,FRA Ligue 1
5,Rominigue Kouamé,2022-23,27,DMC,Troyes,32,31,2669,1,1,1,6.77,FRA Ligue 1
6,Brice Samba,2022-23,30,GK,Lens,37,37,3330,0,0,1,6.77,FRA Ligue 1
7,Arnaud Nordin,2022-23,26,"AM(CLR),FW",Montpellier,36,30,2419,9,3,1,6.76,FRA Ligue 1
8,Danilo Pereira,2022-23,32,"D(C),DMC",PSG,33,27,2411,2,0,0,6.76,FRA Ligue 1
9,Guillermo Maripán,2022-23,30,D(C),Monaco,26,25,2160,3,0,1,6.76,FRA Ligue 1
0,Nordi Mukiele,2022-23,26,"D(CR),M(R)",PSG,19,12,1133,0,3,1,6.76,FRA Ligue 1
1,Youcef Atal,2022-23,28,"D(R),M(R)",Nice,18,8,777,1,0,1,6.76,FRA Ligue 1
2,Melvin Bard,2022-23,23,"D(L),M(L)",Nice,33,28,2460,0,0,0,6.75,FRA Ligue 1
3,Sinaly Diomandé,2022-23,23,D(CR),Lyon,24,22,1959,0,0,0,6.75,FRA Ligue 1
4,Alidu Seidu,2022-23,24,D(CR),Clermont Foot,28,28,2463,0,0,0,6.75,FRA Ligue 1
5,Faitout Maouassa,2022-23,26,"D(L),M(LR)",Montpellier,33,23,1935,5,5,0,6.75,FRA Ligue 1
6,Jimmy Cabot,2022-23,30,M(LR),Lens,11,5,508,0,1,2,6.75,FRA Ligue 1
7,Sead Kolasinac,2022-23,31,"D(CL),DMC,M(L)",Marseille,33,26,2219,4,1,2,6.74,FRA Ligue 1
8,Vitinha,2022-23,24,M(C),PSG,36,29,2461,2,3,0,6.74,FRA Ligue 1
9,Christopher Jullien,2022-23,31,D(C),Montpellier,30,30,2696,0,2,0,6.74,FRA Ligue 1
0,Saîf-Eddine Khaoui,2022-23,29,AM(CR),Clermont Foot,34,23,2036,7,3,2,6.74,FRA Ligue 1
1,Jérémy Le Douaron,2022-23,26,"AM(L),FW",Brest,32,24,2080,10,3,2,6.73,FRA Ligue 1
2,Azzedine Ounahi,2022-23,24,AM(CR),Angers,15,13,1137,0,0,0,6.73,FRA Ligue 1
3,Castello Lukeba,2022-23,21,D(C),Lyon,34,33,2986,2,0,0,6.73,FRA Ligue 1
4,Mama Baldé,2022-23,28,"D(R),M(CLR),FW",Troyes,34,30,2672,12,3,3,6.73,FRA Ligue 1
5,Gideon Mensah,2022-23,26,"D(L),M(L)",Auxerre,26,26,2263,0,0,2,6.73,FRA Ligue 1
6,Ante Palaversa,2022-23,24,DMC,Troyes,2,0,29,1,0,0,6.73,FRA Ligue 1
7,Sofiane Diop,2022-23,24,AM(CLR),Nice,22,14,1231,1,4,1,6.73,FRA Ligue 1
8,Jubal,2022-23,31,D(C),Auxerre,37,35,3216,3,1,2,6.73,FRA Ligue 1
9,Leonardo Balerdi,2022-23,25,D(C),Marseille,35,30,2643,0,1,0,6.73,FRA Ligue 1
0,Quentin Merlin,2022-23,22,"D(L),M(L)",Nantes,24,22,1803,1,2,1,6.73,FRA Ligue 1
1,Badredine Bouanani,2022-23,19,AM(R),Nice,19,9,861,0,4,0,6.72,FRA Ligue 1
2,Lovro Majer,2022-23,26,AM(CR),Rennes,32,18,1670,2,5,1,6.72,FRA Ligue 1
3,Laurent Abergel,2022-23,31,DMC,Lorient,29,28,2351,0,1,0,6.72,FRA Ligue 1
4,Deiver Machado,2022-23,31,M(L),Lens,33,26,2206,4,3,2,6.72,FRA Ligue 1
5,Warmed Omari,2022-23,24,D(C),Rennes,16,15,1363,0,0,0,6.72,FRA Ligue 1
6,Marquinhos,2022-23,30,"D(CR),DMC",PSG,33,30,2718,2,0,0,6.72,FRA Ligue 1
7,Théo Sainte-Luce,2022-23,25,D(L),Montpellier,9,7,535,1,1,0,6.72,FRA Ligue 1
8,Lucien Agoumé,2022-23,22,DMC,Troyes,15,14,1097,0,1,0,6.71,FRA Ligue 1
9,Désiré Doué,2022-23,19,AM(C),Rennes,26,11,1116,3,1,1,6.71,FRA Ligue 1
0,Vito Mannone,2022-23,36,GK,Lorient,18,17,1607,0,0,1,6.71,FRA Ligue 1
1,Mario Lemina,2022-23,31,DMC,Nice,14,11,844,0,0,0,6.71,FRA Ligue 1
2,Angel Gomes,2022-23,24,"M(CL),FW",Lille,36,34,2836,2,6,1,6.71,FRA Ligue 1
3,Arthur Theate,2022-23,24,D(C),Rennes,35,35,3129,4,0,1,6.71,FRA Ligue 1
4,André Gomes,2022-23,31,M(CLR),Lille,26,18,1628,3,2,1,6.71,FRA Ligue 1
5,Steve Mandanda,2022-23,39,GK,Rennes,34,34,3016,0,1,2,6.70,FRA Ligue 1
6,Marco Bizot,2022-23,33,GK,Brest,37,37,3330,0,0,3,6.70,FRA Ligue 1
7,Zakaria Aboukhlal,2022-23,24,AM(LR),Toulouse,37,28,2480,10,5,3,6.70,FRA Ligue 1
8,Farès Chaïbi,2022-23,21,AM(CL),Toulouse,36,24,2345,5,5,0,6.70,FRA Ligue 1
9,Jean-Charles Castelletto,2022-23,29,D(C),Nantes,32,30,2569,0,0,0,6.69,FRA Ligue 1
0,Aaron Ramsey,2022-23,33,M(CLR),Nice,27,18,1588,1,1,1,6.69,FRA Ligue 1
1,Tiago Djaló,2022-23,24,D(CLR),Lille,25,24,2022,2,0,1,6.69,FRA Ligue 1
2,Gédéon Kalulu,2022-23,27,"D(R),M(R)",Lorient,29,28,2442,0,4,1,6.69,FRA Ligue 1
3,Han-Noah Massengo,2022-23,23,M(C),Auxerre,14,13,1119,0,0,0,6.69,FRA Ligue 1
4,Nuno da Costa,2022-23,33,"AM(CLR),FW",Auxerre,33,23,2017,5,4,3,6.69,FRA Ligue 1
5,Anthony Lopes,2022-23,33,GK,Lyon,32,32,2817,0,0,0,6.69,FRA Ligue 1
6,Andy Delort,2022-23,32,"AM(R),FW",Nice,14,9,781,6,1,0,6.68,FRA Ligue 1
7,Jeffinho,2022-23,24,AM(L),Lyon,9,4,443,1,0,0,6.68,FRA Ligue 1
8,Alexander Nübel,2022-23,27,GK,Monaco,38,38,3420,0,0,1,6.68,FRA Ligue 1
9,Jonas Omlin,2022-23,30,GK,Montpellier,14,14,1168,0,0,0,6.68,FRA Ligue 1
0,Karl Toko Ekambi,2022-23,31,"AM(LR),FW",Rennes,17,11,973,3,2,0,6.68,FRA Ligue 1
1,Youssouf Ndayishimiye,2022-23,25,"D(C),DMC",Nice,10,6,566,1,0,0,6.68,FRA Ligue 1
2,Joris Chotard,2022-23,22,DMC,Montpellier,35,26,2461,0,6,1,6.67,FRA Ligue 1
3,Bamo Meïté,2022-23,23,D(C),Lorient,18,17,1504,1,0,1,6.67,FRA Ligue 1
4,Nicolas Pallois,2022-23,36,D(C),Nantes,26,26,2217,1,0,1,6.67,FRA Ligue 1
5,Dimitri Payet,2022-23,37,"M(CLR),FW",Marseille,24,9,828,4,3,2,6.67,FRA Ligue 1
6,Bafodé Diakité,2022-23,23,D(CR),Lille,33,29,2656,3,0,1,6.66,FRA Ligue 1
7,Chrislain Matsima,2022-23,22,D(C),Monaco,8,5,446,0,1,1,6.66,FRA Ligue 1
8,Jeanuël Belocian,2022-23,19,D(L),Rennes,8,6,508,0,0,0,6.66,FRA Ligue 1
9,Quentin Bernard,2022-23,35,D(L),Auxerre,7,7,630,0,1,0,6.66,FRA Ligue 1
0,Lilian Brassier,2022-23,24,D(CL),Brest,36,35,3094,0,0,0,6.66,FRA Ligue 1
1,Anthony Rouault,2022-23,23,D(C),Toulouse,37,37,3316,2,0,2,6.65,FRA Ligue 1
2,Maximiliano Caufriez,2022-23,27,D(CR),Clermont Foot,26,25,2224,1,0,1,6.65,FRA Ligue 1
3,Cheick Keita,2022-23,21,D(C),Reims,9,8,688,0,0,0,6.65,FRA Ligue 1
4,Maxime Le Marchand,2022-23,34,D(CL),Strasbourg,26,23,2018,0,0,0,6.65,FRA Ligue 1
5,Issiaga Sylla,2022-23,30,"D(LR),M(L)",Toulouse,17,16,1376,0,0,1,6.65,FRA Ligue 1
6,Grejohn Kyei,2022-23,29,FW,Clermont Foot,37,26,2244,10,3,5,6.65,FRA Ligue 1
7,Thijs Dallinga,2022-23,24,FW,Toulouse,36,28,2363,12,1,1,6.65,FRA Ligue 1
8,Ruslan Malinovskyi,2022-23,31,"M(CLR),FW",Marseille,20,13,1232,1,1,0,6.65,FRA Ligue 1
9,Ismaël Doukouré,2022-23,21,D(C),Strasbourg,28,25,2301,1,1,0,6.65,FRA Ligue 1
0,Joe Rodon,2022-23,26,D(C),Rennes,16,16,1418,1,0,1,6.65,FRA Ligue 1
1,Mostafa Mohamed,2022-23,26,FW,Nantes,36,18,1936,8,2,1,6.64,FRA Ligue 1
2,Julien Laporte,2022-23,30,D(C),Lorient,20,19,1656,0,0,0,6.64,FRA Ligue 1
3,Eliesse Ben Seghir,2022-23,19,FW,Monaco,19,13,1060,4,1,1,6.64,FRA Ligue 1
4,Gabriel Suazo,2022-23,27,D(L),Toulouse,18,14,1258,0,1,0,6.63,FRA Ligue 1
5,Vincent Le Goff,2022-23,34,"D(CL),M(L)",Lorient,37,37,3330,0,0,0,6.63,FRA Ligue 1
6,Mahdi Camara,2022-23,26,"D(CR),M(C)",Brest,31,20,1825,2,0,0,6.63,FRA Ligue 1
7,Mattéo Guendouzi,2022-23,25,M(C),Marseille,33,25,2113,2,4,0,6.63,FRA Ligue 1
8,Hamza Sakhi,2022-23,28,AM(C),Auxerre,27,18,1660,1,2,2,6.63,FRA Ligue 1
9,Lucas Chevalier,2022-23,22,GK,Lille,32,32,2880,0,0,0,6.63,FRA Ligue 1
0,Flavien Tait,2022-23,31,M(CLR),Rennes,30,19,1685,2,2,1,6.62,FRA Ligue 1
1,Arnaud Kalimuendo,2022-23,22,FW,Rennes,30,24,1862,7,3,1,6.62,FRA Ligue 1
2,Christopher Wooh,2022-23,22,D(C),Rennes,13,12,1007,0,0,0,6.62,FRA Ligue 1
3,Xavier Chavalerin,2022-23,33,"DMC,M(L)",Troyes,34,25,2422,4,2,0,6.62,FRA Ligue 1
4,Matz Sels,2022-23,32,GK,Strasbourg,38,38,3420,0,0,2,6.61,FRA Ligue 1
5,Wahbi Khazri,2022-23,33,"M(CLR),FW",Montpellier,27,20,1644,4,1,0,6.61,FRA Ligue 1
6,Quentin Boisgard,2022-23,27,AM(CLR),Lorient,5,1,182,1,0,0,6.61,FRA Ligue 1
7,Presnel Kimpembe,2022-23,29,D(C),PSG,11,9,731,0,0,0,6.61,FRA Ligue 1
8,Isaak Touré,2022-23,21,D(C),Auxerre,19,18,1591,1,0,1,6.61,FRA Ligue 1
9,Jens Cajuste,2022-23,25,DMC,Reims,31,14,1529,3,1,0,6.61,FRA Ligue 1
0,Thiago Mendes,2022-23,32,"D(CR),M(CR)",Lyon,31,22,2065,1,1,0,6.61,FRA Ligue 1
1,Saël Kumbedi,2022-23,19,D(R),Lyon,20,14,1317,0,2,0,6.61,FRA Ligue 1
2,Mateusz Wieteska,2022-23,27,D(C),Clermont Foot,35,35,3120,0,1,1,6.61,FRA Ligue 1
3,Thomas Foket,2022-23,29,"D(LR),M(R)",Reims,24,23,1983,0,1,0,6.61,FRA Ligue 1
4,Juan Bernat,2022-23,31,"D(L),M(CL)",PSG,28,18,1648,1,4,0,6.61,FRA Ligue 1
5,Gauthier Gallon,2022-23,31,GK,Troyes,30,30,2668,0,0,1,6.60,FRA Ligue 1
6,Thibault De Smet,2022-23,26,"D(L),M(L)",Reims,22,20,1762,0,1,0,6.60,FRA Ligue 1
7,Kevin Gameiro,2022-23,37,FW,Strasbourg,34,23,2103,10,0,1,6.60,FRA Ligue 1
8,Yvon Mvogo,2022-23,30,GK,Lorient,21,21,1813,0,0,0,6.59,FRA Ligue 1
9,Jackson Porozo,2022-23,24,D(C),Troyes,22,17,1616,2,0,1,6.59,FRA Ligue 1
0,Habib Diarra,2022-23,20,AM(CR),Strasbourg,29,18,1628,3,2,1,6.59,FRA Ligue 1
1,Birama Touré,2022-23,32,DMC,Auxerre,38,38,3405,2,0,0,6.59,FRA Ligue 1
2,Lilian Raolisoa,2022-23,24,D(CLR),Angers,7,0,166,1,0,0,6.59,FRA Ligue 1
3,Lucas Perrin,2022-23,25,D(C),Strasbourg,26,18,1763,0,1,0,6.59,FRA Ligue 1
4,Hugo Ekitike,2022-23,22,FW,PSG,25,12,1155,3,4,0,6.59,FRA Ligue 1
