,Player,Age,Nation,Club,Position,Min,npG,npxG,Shots,Assists,xAG,npxG + xAG,SCA,Pass Attempts,Pass %,Prog Passes,Prog Carries,Take-Ons,Touches (Att Pen),Prog Passes Rec,Tackles,Inter,Blocks,Clears,Aerials,OVR
0,Tosin Adarabioyo,26,ENG,Fulham,Center Back,1457,20,39,91,28,58,44,62,66,36,80,71,73,70,31,40,35,21,99,84,55.1578947368421
1,Simon Adingra,21,CIV,Brighton,Att Mid / Winger,488,44,55,82,99,73,69,12,40,35,8,72,87,88,53,92,96,24,43,60,59.578947368421055
2,Nayef Aguerd,27,MAR,West Ham,Center Back,1931,95,97,80,28,57,93,51,18,16,4,6,49,84,48,53,55,81,81,39,54.473684210526315
3,Naouirou Ahamada,21,FRA,Crystal Palace,Midfielder,956,66,61,80,86,65,62,60,22,64,31,88,74,68,91,7,5,22,10,22,51.78947368421053
4,Anel Ahmedhodzic,24,BIH,Sheffield Utd,Center Back,450,20,92,97,28,3,77,56,2,1,1,38,80,48,89,87,69,99,78,44,53.10526315789474
5,Ola Aina,26,NGA,Nott'ham Forest,Fullback,876,81,80,76,59,82,87,57,25,19,47,78,95,27,27,60,47,26,93,71,59.8421052631579
6,Rayan Aït Nouri,22,ALG,Wolves,Fullback,976,79,80,62,9,4,32,34,24,68,59,60,97,74,62,92,52,8,76,83,55.526315789473685
7,Kristoffer Ajer,25,NOR,Brentford,Center Back,768,20,35,28,98,99,95,58,14,7,73,92,33,97,97,34,14,17,21,44,51.36842105263158
8,Manuel Akanji,28,SUI,Manchester City,Center Back,3355,40,71,65,59,50,60,91,96,97,82,83,49,83,88,65,11,46,1,2,59.94736842105263
9,Nathan Aké,28,NED,Manchester City,Fullback,2529,74,78,40,9,8,35,16,99,98,96,20,5,55,3,25,54,2,59,93,45.73684210526316
10,Trent Alexander-Arnold,24,ENG,Liverpool,Fullback,3212,66,75,86,95,98,97,94,98,42,93,24,76,48,32,42,78,18,22,26,63.68421052631579
11,Miguel Almirón,29,PAR,Newcastle Utd,Att Mid / Winger,2269,89,78,76,12,15,52,19,46,94,64,48,22,72,70,67,58,45,71,20,53.578947368421055
12,Edson Álvarez,25,MEX,West Ham,Midfielder,783,14,57,63,11,5,26,1,71,68,12,16,31,74,21,73,75,78,99,98,47.0
13,Julián Álvarez,23,ARG,Manchester City,Forward,2254,77,71,72,81,73,68,92,93,87,77,89,73,63,56,92,62,61,9,4,68.42105263157895
14,Joachim Andersen,27,DEN,Crystal Palace,Center Back,2692,50,65,85,28,90,83,86,78,16,80,66,60,89,50,38,7,7,93,85,60.8421052631579
15,Elliot Anderson,20,SCO,Newcastle Utd,Midfielder,552,14,75,79,80,93,87,87,29,16,52,99,97,99,98,66,71,94,21,88,70.78947368421052
16,Jaidon Anthony,23,ENG,Bournemouth,Midfielder,1252,80,82,80,43,43,66,58,19,10,24,82,75,90,95,56,29,99,79,47,60.89473684210526
17,Michail Antonio,33,JAM,West Ham,Forward,1780,41,41,13,43,10,22,29,17,4,25,91,89,13,50,57,63,53,22,60,39.10526315789474
18,Antony,23,BRA,Manchester Utd,Att Mid / Winger,2526,42,85,98,9,43,69,61,62,77,55,86,48,61,77,48,77,48,39,29,58.63157894736842
19,Serge Aurier,30,CIV,Nott'ham Forest,Fullback,2284,53,40,27,48,24,22,8,17,14,40,32,50,16,16,91,75,80,97,99,44.68421052631579
20,Taiwo Awoniyi,26,NGA,Nott'ham Forest,Forward,1437,93,63,31,80,36,55,14,5,14,8,27,22,8,1,79,61,93,77,45,42.73684210526316
21,Jordan Ayew,32,GHA,Crystal Palace,Att Mid / Winger,2699,25,12,10,45,19,7,10,19,60,8,39,67,42,26,89,63,61,86,94,41.1578947368421
22,Leon Bailey,26,JAM,Aston Villa,Att Mid / Winger,1728,66,82,70,60,75,79,24,5,3,2,82,66,62,57,6,39,17,73,84,50.10526315789474
23,Ross Barkley,29,ENG,Luton Town,Midfielder,1059,99,99,99,82,92,99,93,37,28,40,86,73,84,80,7,28,5,15,32,62.0
24,Harvey Barnes,25,ENG,Newcastle Utd,Att Mid / Winger,2498,94,87,67,10,26,63,3,6,22,17,64,16,68,57,23,19,51,41,87,43.21052631578947
25,Calvin Bassey,23,NGA,Fulham,Center Back,647,20,1,5,99,35,3,45,86,50,45,6,89,35,93,73,28,34,63,28,44.10526315789474
26,Jean-Ricner Bellegarde,25,FRA,Wolves,Midfielder,2097,86,78,85,98,98,95,88,34,19,63,99,98,77,84,28,44,41,23,38,67.15789473684211
27,Saïd Benrahma,28,ALG,West Ham,Att Mid / Winger,2107,12,31,87,61,58,39,61,42,45,57,90,77,66,87,38,58,52,63,16,54.73684210526316
28,Beto,25,GNB,Everton,Forward,2060,21,46,41,14,54,48,60,2,31,2,32,90,60,26,56,78,72,88,64,46.578947368421055
29,Philip Billing,27,DEN,Bournemouth,Midfielder,2729,84,91,79,24,65,84,34,15,22,9,46,57,91,74,55,46,94,93,85,60.421052631578945
30,Yves Bissouma,27,MLI,Tottenham,Midfielder,1388,14,33,43,11,20,23,55,86,97,76,81,88,39,17,58,74,71,71,35,52.21052631578947
31,Willy Boly,32,CIV,Nott'ham Forest,Center Back,961,90,88,71,94,86,86,16,3,3,3,10,49,93,22,83,86,95,98,68,60.21052631578947
32,Sven Botman,23,NED,Newcastle Utd,Center Back,3212,20,77,70,59,76,80,46,45,66,19,12,7,85,37,28,23,62,45,50,47.73684210526316
33,Jarrod Bowen,26,ENG,West Ham,Att Mid / Winger,3060,55,71,52,47,65,66,26,3,5,5,44,23,63,22,30,94,65,81,90,47.73684210526316
34,Jarrad Branthwaite,21,ENG,Everton,Center Back,529,20,33,52,28,3,13,22,29,42,35,1,45,34,2,40,66,47,51,71,33.36842105263158
35,Hugo Bueno,21,ESP,Wolves,Fullback,1448,19,31,32,43,48,36,66,33,70,11,92,62,39,61,68,19,33,63,35,45.31578947368421
36,Dan Burn,31,ENG,Newcastle Utd,Fullback,3126,40,66,37,9,10,30,5,45,64,32,5,12,73,2,42,36,80,93,99,41.05263157894737
37,Moisés Caicedo,21,ECU,Chelsea,Midfielder,2808,14,27,33,23,46,35,63,89,95,79,42,66,31,38,89,81,63,38,68,53.68421052631579
38,Tom Cairney,32,SCO,Fulham,Midfielder,1004,87,79,89,11,61,71,91,87,66,92,91,50,93,91,7,6,55,3,48,62.0
39,Dominic Calvert-Lewin,26,ENG,Everton,Forward,1227,4,58,37,32,11,45,16,15,10,16,49,76,43,11,11,66,15,89,91,36.578947368421055
40,Casemiro,31,BRA,Manchester Utd,Midfielder,3435,88,91,86,58,69,85,71,80,27,82,26,15,61,43,97,69,99,99,96,70.63157894736842
41,Matty Cash,26,POL,Aston Villa,Fullback,1791,81,95,64,36,5,60,15,35,64,35,46,58,33,11,89,39,59,55,28,47.78947368421053
42,Timothy Castagne,27,BEL,Fulham,Fullback,2867,43,58,40,43,39,47,14,38,67,25,7,11,57,28,86,76,85,92,80,49.26315789473684
